Model,Brier Score,ECE (10-bin),Calibration Slope,Calibration Intercept
Gradient Boosting (uncalibrated),0.2524418805718578,0.27069327178414404,0.06173316581215199,-0.8051449775381605
Platt Scaling (sigmoid),0.20249533435945924,0.17036318008513063,0.5109834062702738,-0.509962272065741
Isotonic Regression,0.23037534021761352,0.17548652318377894,-0.21000537012660808,-1.1718428687207947
